"Código","Unidade Territorial","UF","Referência","total de pessoas elegíveis ao recebimento do auxílio emergencial","Pessoas elegíveis do público Cadastro Único (sem bolsa)","Pessoas elegíveis do público Aplicativo Caixa","Pessoas elegíveis por meio Judicial","Pessoas elegíveis do público Bolsa Família"
"251030","NOVA PALMEIRA","PB","2022","0","","","0",""
"251040","OLHO D´ÁGUA","PB","2022","0","","","0",""
"251050","OLIVEDOS","PB","2022","0","","","0",""
"251060","OURO VELHO","PB","2022","0","","","0",""
"251065","PARARI","PB","2022","0","","","0",""
"251070","PASSAGEM","PB","2022","0","","","0",""
"251080","PATOS","PB","2022","0","","","0",""
"251090","PAULISTA","PB","2022","0","","","0",""
"251100","PEDRA BRANCA","PB","2022","0","","","0",""
"251110","PEDRA LAVRADA","PB","2022","0","","","0",""
"251120","PEDRAS DE FOGO","PB","2022","0","","","0",""
"251130","PIANCÓ","PB","2022","0","","","0",""
"251140","PICUÍ","PB","2022","1","","","1",""
"251150","PILAR","PB","2022","0","","","0",""
"251160","PILÕES","PB","2022","0","","","0",""
"251170","PILÕEZINHOS","PB","2022","0","","","0",""
"251180","PIRPIRITUBA","PB","2022","0","","","0",""
"251190","PITIMBU","PB","2022","1","","","1",""
"251200","POCINHOS","PB","2022","1","","","1",""
"251203","POÇO DANTAS","PB","2022","0","","","0",""
"251207","POÇO DE JOSÉ DE MOURA","PB","2022","0","","","0",""
"251210","POMBAL","PB","2022","0","","","0",""
"251220","PRATA","PB","2022","0","","","0",""
"251230","PRINCESA ISABEL","PB","2022","0","","","0",""
"251240","PUXINANÃ","PB","2022","0","","","0",""
"251250","QUEIMADAS","PB","2022","1","","","1",""
"251260","QUIXABÁ","PB","2022","0","","","0",""
"251270","REMÍGIO","PB","2022","1","","","1",""
"251272","PEDRO RÉGIS","PB","2022","0","","","0",""
"251274","RIACHÃO","PB","2022","0","","","0",""
"251275","RIACHÃO DO BACAMARTE","PB","2022","0","","","0",""
"251276","RIACHÃO DO POÇO","PB","2022","0","","","0",""
"251278","RIACHO DE SANTO ANTÔNIO","PB","2022","0","","","0",""
"251280","RIACHO DOS CAVALOS","PB","2022","0","","","0",""
"251290","RIO TINTO","PB","2022","0","","","0",""
"251300","SALGADINHO","PB","2022","0","","","0",""
"251310","SALGADO DE SÃO FÉLIX","PB","2022","0","","","0",""
"251315","SANTA CECÍLIA","PB","2022","0","","","0",""
"251320","SANTA CRUZ","PB","2022","0","","","0",""
"251330","SANTA HELENA","PB","2022","0","","","0",""
"251335","SANTA INÊS","PB","2022","0","","","0",""
"251340","SANTA LUZIA","PB","2022","0","","","0",""
"251350","SANTANA DE MANGUEIRA","PB","2022","0","","","0",""
"251360","SANTANA DOS GARROTES","PB","2022","0","","","0",""
"251365","SANTARÉM","PB","2022","0","","","0",""
"251370","SANTA RITA","PB","2022","6","","","6",""
"251380","SANTA TERESINHA","PB","2022","0","","","0",""
"251385","SANTO ANDRÉ","PB","2022","0","","","0",""
"251390","SÃO BENTO","PB","2022","0","","","0",""
"251392","SÃO BENTINHO","PB","2022","0","","","0",""
"251394","SÃO DOMINGOS DO CARIRI","PB","2022","0","","","0",""
"251396","SÃO DOMINGOS DE POMBAL","PB","2022","0","","","0",""
"251398","SÃO FRANCISCO","PB","2022","0","","","0",""
"251400","SÃO JOÃO DO CARIRI","PB","2022","0","","","0",""
"251410","SÃO JOÃO DO TIGRE","PB","2022","0","","","0",""
"251420","SÃO JOSÉ DA LAGOA TAPADA","PB","2022","0","","","0",""
"251430","SÃO JOSÉ DE CAIANA","PB","2022","0","","","0",""
"251440","SÃO JOSÉ DE ESPINHARAS","PB","2022","0","","","0",""
"251445","SÃO JOSÉ DOS RAMOS","PB","2022","0","","","0",""
"251450","SÃO JOSÉ DE PIRANHAS","PB","2022","0","","","0",""
"251455","SÃO JOSÉ DE PRINCESA","PB","2022","0","","","0",""
"251460","SÃO JOSÉ DO BONFIM","PB","2022","0","","","0",""
"251465","SÃO JOSÉ DO BREJO DO CRUZ","PB","2022","0","","","0",""
"251470","SÃO JOSÉ DO SABUGI","PB","2022","0","","","0",""
"251480","SÃO JOSÉ DOS CORDEIROS","PB","2022","0","","","0",""
"251490","SÃO MAMEDE","PB","2022","0","","","0",""
"251500","SÃO MIGUEL DE TAIPU","PB","2022","0","","","0",""
"251510","SÃO SEBASTIÃO DE LAGOA DE ROÇA","PB","2022","0","","","0",""
"251520","SÃO SEBASTIÃO DO UMBUZEIRO","PB","2022","0","","","0",""
"251530","SAPÉ","PB","2022","1","","","1",""
"251540","SERIDÓ","PB","2022","0","","","0",""
"251550","SERRA BRANCA","PB","2022","0","","","0",""
"251560","SERRA DA RAIZ","PB","2022","0","","","0",""
"251570","SERRA GRANDE","PB","2022","0","","","0",""
"251580","SERRA REDONDA","PB","2022","0","","","0",""
"251590","SERRARIA","PB","2022","0","","","0",""
"251593","SERTÃOZINHO","PB","2022","0","","","0",""
"251597","SOBRADO","PB","2022","0","","","0",""
"251600","SOLÂNEA","PB","2022","0","","","0",""
"251610","SOLEDADE","PB","2022","0","","","0",""
"251615","SOSSÊGO","PB","2022","0","","","0",""
"251620","SOUSA","PB","2022","0","","","0",""
"251630","SUMÉ","PB","2022","0","","","0",""
"251640","TACIMA","PB","2022","0","","","0",""
"251650","TAPEROÁ","PB","2022","0","","","0",""
"251660","TAVARES","PB","2022","0","","","0",""
"251670","TEIXEIRA","PB","2022","0","","","0",""
"251675","TENÓRIO","PB","2022","0","","","0",""
"251680","TRIUNFO","PB","2022","0","","","0",""
"251690","UIRAÚNA","PB","2022","0","","","0",""
"251700","UMBUZEIRO","PB","2022","0","","","0",""
"251710","VÁRZEA","PB","2022","0","","","0",""
"251720","VIEIRÓPOLIS","PB","2022","1","","","1",""
"251740","ZABELÊ","PB","2022","0","","","0",""
