"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"250030","ALAGOA GRANDE","PB","06/2011","3951","","463540","","117,32",""
"250030","ALAGOA GRANDE","PB","03/2011","3953","","398345","","100,77",""
"250030","ALAGOA GRANDE","PB","07/2010","4065","","414077","","101,86",""
"250030","ALAGOA GRANDE","PB","01/2011","3994","","402114","","100,68",""
"250030","ALAGOA GRANDE","PB","04/2004","2403","","184000","","76,57",""
"250030","ALAGOA GRANDE","PB","09/2011","4527","","544896","","120,37",""
"250030","ALAGOA GRANDE","PB","06/2004","2403","","183385","","76,32",""
"250030","ALAGOA GRANDE","PB","04/2011","3968","","467112","","117,72",""
"250030","ALAGOA GRANDE","PB","01/2004","2403","","185515","","77,20",""
"250030","ALAGOA GRANDE","PB","03/2023","","5375","","3594639","","669,77"
"250030","ALAGOA GRANDE","PB","04/2023","","5397","","3611031","","669,95"
"250030","ALAGOA GRANDE","PB","05/2023","","5390","","3607749","","670,46"
"250030","ALAGOA GRANDE","PB","06/2023","","5379","","3847822","","715,34"
"250030","ALAGOA GRANDE","PB","07/2023","","5473","","3860029,00","","706,32"
"250030","ALAGOA GRANDE","PB","08/2023","","5492","","3883083,00","","707,56"
"250030","ALAGOA GRANDE","PB","09/2023","","5521","","3867202","","700,83"
"250030","ALAGOA GRANDE","PB","10/2023","","5515","","3866263,0","","701,17"
"250030","ALAGOA GRANDE","PB","11/2023","","5484","","3803149,0","","693,88"
"250030","ALAGOA GRANDE","PB","12/2023","","5458","","3791057,0","","694,97"
"250030","ALAGOA GRANDE","PB","08/2004","2403","","182620","","76,00",""
